Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad
45.0,,,36.0,,37.0,,17.0,27.0,26.0,37.0,,,55.0,
,0.0,,,,,,,,,,,,4.0,
,35.0,,13.0,,2.0,,,1.0,,,,,2.0,
,,,,15.0,4.0,,,,,,,,,6.0
,,,4.0,,,,,,,,,,,
,,,16.0,,,,,24.0,,,,,22.0,
2.0,,,62.0,,,,,,,45.0,,,43.0,
,,,,,15.0,,,,,,,,,
3.0,4.0,,2.0,,9.0,,,9.0,,8.0,,,,
58.0,6.0,,22.0,8.0,27.0,0.0,62.0,93.0,30.0,30.0,13.0,,17.0,2.0
11.0,,,5.0,,16.0,,2.0,,,,,,,
,,,,,,,,,,19.0,,,,
1.0,22.0,,1.0,,6.0,,1.0,1.0,,9.0,,,0.0,0.0
1.0,,,0.0,,,,1.0,0.0,,,,,,
131.0,52.0,,170.0,,154.0,,100.0,22.0,19.0,201.0,,,125.0,
,,0.0,,,1.0,,,0.0,,,,,,3.0
,,,4.0,,,,,0.0,,,,,,
,,,5.0,,,,,,,,,,,0.0
12.0,,,32.0,,,,,,,3.0,,,22.0,
,,,7.0,,,1.0,,4.0,,,,,,
19.0,11.0,,59.0,,19.0,,45.0,46.0,,,,,18.0,
,,,,,,,9.0,,,,,,,
23.0,15.0,,56.0,,10.0,,,24.0,,39.0,,,12.0,
,7.0,,2.0,,,,,33.0,,,,,,
2.0,2.0,,7.0,,4.0,,,3.0,,1.0,,,7.0,0.0
8.0,,,30.0,,17.0,,,33.0,,14.0,,,21.0,
479.0,153.0,35.0,411.0,233.0,685.0,54.0,364.0,660.0,149.0,582.0,32.0,84.0,115.0,392.0
,1.0,,37.0,,15.0,,51.0,,6.0,,,,10.0,
255.0,112.0,,321.0,,141.0,9.0,271.0,234.0,50.0,255.0,,,369.0,52.0
1.0,12.0,,,,,,,0.0,,,,,7.0,
20.0,,,15.0,,45.0,,45.0,28.0,,,,,28.0,
8.0,,,12.0,,4.0,,36.0,9.0,5.0,,,,0.0,5.0
81.0,69.0,,106.0,,57.0,,126.0,51.0,,96.0,,,64.0,74.0
24.0,,19.0,,,3.0,,14.0,14.0,,9.0,,,3.0,5.0
227.0,,118.0,109.0,,252.0,,4.0,158.0,,122.0,,17.0,334.0,104.0
,,,,,,,,0.0,,,7.0,,,
,,,,,,,3.0,,,2.0,,,5.0,
,20.0,,5.0,,,,24.0,,,,,,0.0,
139.0,0.0,,285.0,,203.0,,252.0,217.0,25.0,141.0,46.0,50.0,242.0,144.0
3.0,,,8.0,,22.0,,17.0,25.0,,1.0,,,14.0,4.0
46.0,42.0,,25.0,,68.0,31.0,89.0,45.0,47.0,,,,8.0,
147.0,99.0,,42.0,,94.0,,13.0,31.0,36.0,92.0,,,95.0,23.0
273.0,50.0,110.0,677.0,78.0,455.0,8.0,479.0,579.0,173.0,3.0,,,590.0,375.0
8.0,,,,,,,5.0,1.0,,,,,18.0,4.0
,,,,,,,,0.0,,,,,7.0,
,4.0,,,,,,,30.0,,,,,,
,,,,,,,17.0,,,39.0,,,31.0,
39.0,,,39.0,,45.0,,34.0,0.0,,123.0,0.0,8.0,44.0,7.0
,,,,,,,12.0,,,,,,,
79.0,,,148.0,40.0,1.0,,70.0,86.0,,50.0,46.0,1.0,155.0,130.0
2.0,,,,,,,,6.0,,,,,1.0,9.0
28.0,37.0,,11.0,,27.0,,34.0,20.0,,,,,37.0,
233.0,,28.0,77.0,,117.0,,181.0,,,187.0,,,94.0,94.0
320.0,108.0,32.0,449.0,20.0,350.0,53.0,352.0,115.0,92.0,335.0,22.0,44.0,583.0,451.0
14.0,4.0,,,,9.0,12.0,,0.0,,,,,,
,,,,,,,,,,0.0,,,,
,,,,,0.0,,14.0,,,9.0,,,40.0,
47.0,,2.0,1.0,25.0,7.0,,1.0,24.0,,,,,57.0,
,,,,,,,,7.0,,,0.0,,,0.0
10.0,,,8.0,,,,4.0,,,0.0,,,0.0,15.0
,,,,,4.0,,,,,,,,,
35.0,45.0,,54.0,,,,2.0,99.0,0.0,53.0,,,96.0,4.0
8.0,27.0,,24.0,,,,0.0,8.0,,9.0,,,,
35.0,10.0,,33.0,,14.0,4.0,60.0,18.0,39.0,6.0,,,61.0,
35.0,8.0,2.0,14.0,,9.0,,37.0,33.0,,8.0,0.0,22.0,19.0,3.0
0.0,,,,,,,,4.0,,,,,,1.0
6.0,14.0,,27.0,,,2.0,7.0,29.0,,30.0,,,9.0,
,,,,,,,,5.0,,,,,,
16.0,,,7.0,,6.0,,,,,,,,6.0,
,0.0,,,,,,6.0,,,,,,,
133.0,,8.0,53.0,128.0,83.0,,60.0,80.0,,,,,32.0,70.0
,,,,,,,,0.0,,,,,3.0,
236.0,36.0,,305.0,,277.0,,351.0,477.0,83.0,159.0,94.0,92.0,569.0,214.0
,,,,,10.0,,5.0,,39.0,69.0,,,2.0,
,,,2.0,,,,6.0,,,,,1.0,,2.0
,,5.0,45.0,8.0,22.0,,40.0,20.0,,24.0,,,67.0,9.0
1.0,,,,,,,,0.0,,,,,,
,,,,,,,,,,,,,18.0,
186.0,140.0,,89.0,,188.0,,139.0,262.0,79.0,89.0,,,165.0,63.0
4.0,,,,,49.0,,10.0,,20.0,64.0,,,46.0,
12.0,,,,,,,,0.0,,,,,,11.0
,,,,,5.0,,,,,,,,15.0,20.0
,,1.0,,,11.0,,,5.0,,,2.0,,0.0,13.0
7.0,8.0,,,27.0,,,66.0,7.0,35.0,19.0,8.0,5.0,5.0,
3.0,,,,,58.0,,24.0,47.0,,15.0,,,34.0,6.0
,,,15.0,,,,,,,,,,,
53.0,,,,,4.0,,33.0,8.0,,0.0,,,,82.0
,,,,,,,,,,0.0,,,,
23.0,,,7.0,,11.0,,14.0,56.0,,2.0,36.0,,31.0,133.0
7.0,,,,,,,,1.0,13.0,,,,,
119.0,,20.0,36.0,93.0,255.0,,,211.0,,121.0,,,231.0,222.0
15.0,52.0,,35.0,,70.0,,19.0,19.0,,114.0,,,31.0,35.0
380.0,67.0,69.0,383.0,100.0,797.0,44.0,651.0,651.0,383.0,430.0,,,221.0,384.0
16.0,,,13.0,82.0,68.0,,44.0,84.0,5.0,19.0,38.0,38.0,41.0,72.0
83.0,,,28.0,24.0,97.0,,77.0,10.0,,145.0,5.0,,27.0,42.0
,26.0,,,,9.0,,28.0,12.0,,23.0,,,,
,,,,,,,0.0,,,,,,,3.0
,,,8.0,,,,,,,,,,,
,,,8.0,,,,,0.0,,8.0,,,,
,,,0.0,,8.0,,,,,,,,,
136.0,48.0,,105.0,,132.0,31.0,95.0,100.0,162.0,42.0,,,120.0,
20.0,,,22.0,,45.0,,15.0,,30.0,2.0,,,30.0,5.0
69.0,,6.0,,11.0,12.0,,52.0,,,6.0,,20.0,2.0,10.0
,,,3.0,,9.0,,5.0,20.0,,0.0,1.0,,18.0,7.0
2.0,,,,,2.0,,,,,,,,,
,,,,,3.0,,,,,,,,,
,1.0,,26.0,,6.0,,,,,,,,,
,,,,,,,,8.0,,,,,8.0,
,,,50.0,,2.0,,45.0,9.0,,,,,12.0,5.0
51.0,,,5.0,,4.0,,9.0,47.0,,11.0,,,,
,,,,,,,,,,10.0,,,,
256.0,28.0,58.0,274.0,46.0,,,200.0,240.0,80.0,210.0,30.0,14.0,253.0,186.0
448.0,226.0,65.0,268.0,336.0,833.0,16.0,835.0,482.0,118.0,342.0,83.0,11.0,670.0,8.0
,,,,,,,,,,,,,12.0,
76.0,9.0,,37.0,,41.0,,,64.0,23.0,54.0,,,,
40.0,,,38.0,,80.0,8.0,64.0,55.0,34.0,41.0,,,15.0,
,2.0,,16.0,,,,,3.0,,,,,,
25.0,9.0,,,,10.0,,26.0,81.0,12.0,,,,7.0,0.0
47.0,178.0,8.0,133.0,,206.0,,149.0,287.0,18.0,198.0,,29.0,160.0,85.0
15.0,,,19.0,,30.0,,,,,,,,47.0,
57.0,,20.0,74.0,22.0,119.0,,67.0,95.0,,0.0,19.0,15.0,40.0,7.0
82.0,250.0,,146.0,,98.0,21.0,90.0,203.0,30.0,125.0,,,205.0,72.0
,32.0,,1.0,,10.0,12.0,,,,15.0,,,22.0,
,,,,,,,,,,,,,1.0,
,8.0,,30.0,,,,1.0,,,,,,0.0,
49.0,,,18.0,,15.0,,60.0,11.0,,118.0,,,18.0,6.0
,,,15.0,,40.0,,,8.0,,,,,,10.0
3.0,3.0,,21.0,,5.0,,36.0,,,30.0,,,23.0,
,,,,,,,,,,,6.0,,,
,,,,,1.0,,,10.0,,,,,,
,1.0,,,,,,,3.0,,,,,,
,,,1.0,,,,,,,,,,,
195.0,219.0,,120.0,,183.0,,451.0,261.0,53.0,163.0,,,140.0,23.0
,,,,,,,,,,,,,19.0,
233.0,,,319.0,,249.0,,187.0,344.0,0.0,355.0,47.0,63.0,275.0,313.0
38.0,7.0,,1.0,,15.0,,3.0,6.0,,1.0,,,16.0,14.0
,,,1.0,,17.0,,,,,,,,,
32.0,,,57.0,17.0,92.0,9.0,51.0,99.0,24.0,55.0,,,1.0,11.0
,,,,,4.0,,,,,9.0,,,,
20.0,0.0,,19.0,,15.0,,22.0,33.0,15.0,38.0,,,3.0,1.0
87.0,,,104.0,,21.0,,77.0,,,64.0,,,75.0,36.0
78.0,14.0,,100.0,,159.0,76.0,66.0,63.0,15.0,141.0,4.0,0.0,43.0,95.0
,,,,,,,,,,,,,19.0,5.0
,,,,,,,,,,,,5.0,9.0,
,81.0,92.0,144.0,69.0,368.0,,191.0,238.0,101.0,155.0,,,215.0,220.0
